codigo_pais,pais,anio,vab_manuf_pib,vab_manuf_const,empleo_ind_pct,exp_manuf_pct,poblacion,var_vab,var_empleo,var_exp
GB,Reino Unido,2017,9.04234267998333,278199814486.296,18.2093398150854,74.0197611871942,65964000,-0.978424960069546,-1.369181600253233,-2.8372788594135057
US,Estados Unidos,2017,11.1814907295506,NA,19.5555626898736,61.3709365092424,326608609,0.2096036996328765,-0.22890421554927487,-2.9869481109451312
AR,Argentina,2018,14.0601434041581,77745909363.6869,20.7848673724352,19.4577177222696,44654882,9.54389556900177,-1.6473299405382003,-29.690401447130952
BR,Brasil,2018,10.5284573770078,187314313277.19,20.5300447836496,32.3576397610223,206107261,-1.80050056573966,-1.9787111379638733,-7.084561764719755
CN,China,2018,27.34341880328,NA,30.3637847933889,93.2388307531011,1402760000,-0.9291248546334008,1.3118812051048145,-0.2918144893718666
DE,Alemania,2018,19.8054472442,749614118946.17,27.3456982131664,85.2550400265207,82905782,-1.4295206975612706,-0.22741592801739374,-1.2327175174822402
GB,Reino Unido,2018,9.01545847936897,291552573722.722,18.0840736311641,68.9892207680565,66287000,-0.29731455183480415,-0.6879227099574781,-6.7962127119210685
US,Estados Unidos,2018,11.2802494089516,NA,19.7028367872634,58.9112087207058,328529577,0.8832335668802926,0.7531059050837952,-4.007968475707003
AR,Argentina,2019,13.5408390702829,72959443199.8977,20.6149198410894,16.55456541936,44973465,-3.6934497675295663,-0.8176503044286187,-14.92031256875983
BR,Brasil,2019,10.3325005328998,186516720897.706,20.402627457781,30.1943927380285,207455459,-1.8612113540577568,-0.6206383240336399,-6.685428971242901
CN,China,2019,26.2594662949297,NA,30.7587386897164,92.8740842473991,1407745000,-3.9642171893306544,1.3007400066064712,-0.39119592422588445
DE,Alemania,2019,19.3094694228334,739104871912.434,27.1495116563958,85.0743131475498,83092962,-2.5042495392869624,-0.7174311485531604,-0.21198380637048597
GB,Reino Unido,2019,8.98151366135499,295235906244.9,18.2245297278788,71.7820575556781,66628000,-0.3765179340757818,0.7766839462136188,4.048221963560339
US,Estados Unidos,2019,10.9764075104612,NA,19.7528962033625,59.1142323221412,330226227,-2.6935742949910413,0.2540721249412181,0.3446264401022914
AR,Argentina,2020,14.5905295089183,67344154176.6741,20.9264628130185,14.4214496007227,45191965,7.752033926310231,1.511249979775009,-12.885362826514868
BR,Brasil,2020,10.692931568332,177812890660.246,20.2564807940549,25.0396470697203,208660842,3.488323414884409,-0.7163129554196845,-17.071864014724913
CN,China,2020,25.5809804288007,NA,31.1322866175828,93.5416579304527,1411100000,-2.583776298073537,1.214444882264587,0.7187943638564676
DE,Alemania,2020,18.52749571104,678015663981.336,27.2304940804705,84.8929623650951,83160871,-4.049690308262521,0.29828317024487294,-0.21316749526989476
GB,Reino Unido,2020,9.08180842652208,292800633711.578,17.1878218535671,68.3049140365334,66740000,1.1166799823356222,-5.688530183172869,-4.844028769233355
US,Estados Unidos,2020,10.4725237062381,NA,19.4184044990188,60.1797719851552,331578104,-4.590607662323654,-1.6933805599948504,1.8025095161641858
AR,Argentina,2021,15.558416982668,77964250990.1488,20.4837081020577,13.5315510577839,45312281,6.633669279501397,-2.115764689507671,-6.170659452252325
BR,Brasil,2021,11.9043730112478,184529968813.893,20.7334776442454,25.1214886663242,209550294,11.32936683615917,2.3547863769628474,0.3268480437284893
CN,China,2021,26.621932558827,NA,31.5342449659426,93.4459167956813,1412360000,4.06924250977625,1.2911301803728792,-0.10235133403619923
DE,Alemania,2021,18.5726195842861,739850694233.244,27.3811673985671,84.2248636533673,83196078,0.24355084977412123,0.5533256857232827,-0.7869895137532668
GB,Reino Unido,2021,8.73281920838765,308503477541.787,16.9227327280671,62.2455188736128,66978000,-3.842728251294747,-1.5423078488853714,-8.871096975072234
US,Estados Unidos,2021,10.5250313827085,NA,19.183666430817,57.5274298542755,332100166,0.5013851287739124,-1.2088432302131746,-4.407364872592002
AR,Argentina,2022,16.4165686180445,81650069627.7585,21.1180064272847,15.7922514447346,45407904,5.515674482387745,3.0965991219298994,16.70688287910831
BR,Brasil,2022,13.0740816282273,183521282888.226,20.4917034979733,25.2910278666909,210306415,9.825873364975246,-1.1661051292049085,0.6748772042079354
CN,China,2022,25.9806695043084,NA,30.9312938882327,92.6463369453287,1412175000,-2.40877724823918,-1.9120517341103094,-0.8556605550790186
DE,Alemania,2022,18.3217735042199,754631438253.253,26.7742975854336,82.8939619404076,83177813,-1.3506230444650713,-2.216376695338629,-1.5801767497506392
GB,Reino Unido,2022,7.9613351523025,300536443964.949,16.6989250390828,55.2358295612471,67636000,-8.834306970928218,-1.3225268789662237,-11.261355739677603
US,Estados Unidos,2022,NA,NA,19.2767779678998,53.4684413105369,333996304,NA,0.4853688288346536,-7.0557446317705335
AR,Argentina,2023,16.5255500222842,79987406067.3031,21.4115045495218,18.949952599116,45538401,0.6638500820440152,1.389800326312507,19.995256315616917
BR,Brasil,2023,13.2531636224002,181185234105.342,20.171570324784,24.0930367154098,211140729,1.3697481724931126,-1.5622574922624866,-4.736822708810873
CN,China,2023,25.0144267929987,NA,31.4267217641686,91.8821582914508,1410710000,-3.7190831866340646,1.6017043377690054,-0.8248341802534975
DE,Alemania,2023,18.9402532641593,742630557182.96,26.3957028467134,84.7513724931676,83287273,3.3756544354013984,-1.414023047708901,2.240706692358696
GB,Reino Unido,2023,8.22392851588786,306046570024.372,15.9171060665142,60.4960280048913,68526000,3.2983583602734567,-4.68185209969384,9.523163651976185
US,Estados Unidos,2023,NA,NA,19.3356581942933,56.4597327749381,336755052,NA,0.30544641065819444,5.594499093452554
AR,Argentina,2024,15.1850458096465,72937193328.0646,21.1121866891603,13.3385762659227,45696159,-8.111707088902165,-1.3979300691794982,-29.611558677223627
BR,Brasil,2024,12.1108065153855,188201992441.349,20.3022250193292,23.2192423581155,211998573,-8.619505044696751,0.6477170217366268,-3.62675061519091
CN,China,2024,24.8415841892631,NA,31.6324437528704,91.1612165960274,1408975000,-0.6909716747296457,0.654608489697317,-0.7846373102562199
DE,Alemania,2024,18.0067082931968,710831623390.64,26.2904809714931,84.1312732546074,83516593,-4.928893811198643,-0.3986325949771108,-0.7316686683866869
GB,Reino Unido,2024,7.9734900624048,308035624424.918,16.1242015614121,60.8469978362938,69281000,-3.04524112775586,1.301087609974405,0.5801535125151025
US,Estados Unidos,2024,NA,NA,19.0437070998445,55.6527057342541,340003797,NA,-1.509910298967554,-1.4293851582702355
